Time [h],Current [A],Terminal voltage [V],Discharge capacity [A.h],X-averaged cell temperature [K]
3.0333333333333337,0.1361232,3.674055530054033,0.4129070399999994,298.15
3.0500000000000003,0.1361232,3.673748177934151,0.4151757599999994,298.15
3.0666666666666664,0.1361232,3.6734476377399976,0.41744447999999934,298.15
3.0833333333333335,0.1361232,3.6731532527986457,0.41971319999999934,298.15
3.1,0.1361232,3.672864431217279,0.42198191999999934,298.15
3.1166666666666667,0.1361232,3.6725808074204003,0.42425063999999935,298.15
3.1333333333333333,0.1361232,3.67230219080072,0.42651935999999935,298.15
3.15,0.1361232,3.672028269154386,0.4287880799999993,298.15
3.166666666666667,0.1361232,3.6717585444104524,0.43105679999999935,298.15
3.183333333333333,0.1361232,3.6714929334350614,0.4333255199999993,298.15
3.2,0.1361232,3.671231309278794,0.43559423999999936,298.15
3.216666666666667,0.1361232,3.6709735465399556,0.4378629599999993,298.15
3.233333333333334,0.1361232,3.6707194007912793,0.44013167999999936,298.15
3.25,0.1361232,3.670468751269766,0.4424003999999993,298.15
3.266666666666667,0.1361232,3.670221734882597,0.44466911999999936,298.15
3.2833333333333337,0.1361232,3.669978250652138,0.4469378399999993,298.15
3.3,0.1361232,3.66973815313252,0.44920655999999926,298.15
3.316666666666667,0.1361232,3.6695014746157626,0.4514752799999993,298.15
3.333333333333333,0.1361232,3.6692683868908684,0.45374399999999926,298.15
3.35,0.1361232,3.6690390081438573,0.4560127199999993,298.15
3.3666666666666667,0.1361232,3.66881308386766,0.45828143999999926,298.15
3.3833333333333337,0.1361232,3.668590803700652,0.4605501599999993,298.15
3.4,0.1361232,3.6683723533255472,0.46281887999999927,298.15
3.4166666666666665,0.1361232,3.6681577173432327,0.4650875999999992,298.15
3.4333333333333336,0.1361232,3.6679471651954874,0.46735631999999927,298.15
3.4499999999999997,0.1361232,3.6677407811734835,0.4696250399999992,298.15
3.466666666666667,0.1361232,3.667538471599018,0.4718937599999993,298.15
3.4833333333333334,0.1361232,3.66734044905127,0.4741624799999992,298.15
3.5000000000000004,0.1361232,3.6671471057293057,0.4764311999999993,298.15
3.5166666666666666,0.1361232,3.6669581255544457,0.4786999199999992,298.15
3.5333333333333337,0.1361232,3.6667736090699656,0.4809686399999993,298.15
3.5500000000000003,0.1361232,3.6665938149111406,0.4832373599999992,298.15
3.5666666666666664,0.1361232,3.666418669674323,0.4855060799999992,298.15
3.5833333333333335,0.1361232,3.666247433599259,0.48777479999999923,298.15
3.5999999999999996,0.1361232,3.666080158234,0.4900435199999992,298.15
3.616666666666667,0.1361232,3.665916439205851,0.49231223999999923,298.15
3.6333333333333333,0.1361232,3.665755327119622,0.4945809599999992,298.15
3.6500000000000004,0.1361232,3.6655955759188004,0.49684967999999924,298.15
3.6666666666666665,0.1361232,3.6654363534418377,0.4991183999999992,298.15
3.6833333333333336,0.1361232,3.665277034873528,0.5013871199999992,298.15
3.7,0.1361232,3.6651162709024234,0.5036558399999992,298.15
3.7166666666666663,0.1361232,3.6649532485590335,0.5059245599999992,298.15
3.7333333333333334,0.1361232,3.664787513518424,0.5081932799999992,298.15
3.75,0.1361232,3.66461889437813,0.5104619999999992,298.15
3.766666666666667,0.1361232,3.6644468831036803,0.5127307199999992,298.15
3.783333333333333,0.1361232,3.6642713612520406,0.5149994399999992,298.15
3.8000000000000003,0.1361232,3.664092504019476,0.5172681599999992,298.15
3.816666666666667,0.1361232,3.663910291703511,0.5195368799999992,298.15
3.833333333333334,0.1361232,3.663724769618636,0.5218055999999992,298.15
